ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,genre
2024-03-31T08:24:03Z,ios,464955,TR,77.67.175.125,Unshaken,D'Angelo,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:3okk47CKOqAm1TXmVPzNYf,,,,clickrow,trackdone,False,False,False,1711872979,False,dark r&b
2024-03-31T10:58:40Z,windows,426527,TR,159.20.69.21,That's The Way It Is,Daniel Lanois,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:5ui44u6tEnipuke1eKYpMI,,,,appload,trackdone,False,False,False,1711882155,False,"ambient country, canadian americana, melancholia, pastoral"
2024-03-31T11:14:23Z,windows,516103,TR,159.20.69.21,Unshaken,Christian Larsson,Redemption,spotify:track:5ZecITZkWcqamoR2afadnr,,,,trackdone,trackdone,False,False,False,1711882720,False,Unknown
2024-03-31T11:14:28Z,windows,1430,TR,159.20.69.21,Pale Rider,The Heavy Horses,Murder Ballads & Other Love Songs,spotify:track:4hzkIiYVKJkRpwFOj3XZFP,,,,trackdone,endplay,False,True,False,1711883664,False,Unknown
2024-03-31T11:18:35Z,windows,248066,TR,159.20.69.21,That's The Way It Is,Daniel Lanois,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:5ui44u6tEnipuke1eKYpMI,,,,clickrow,trackdone,False,False,False,1711883669,False,"ambient country, canadian americana, melancholia, pastoral"
2024-03-31T11:22:56Z,windows,260250,TR,159.20.69.21,Unshaken,Christian Larsson,Redemption,spotify:track:5ZecITZkWcqamoR2afadnr,,,,trackdone,trackdone,False,False,False,1711883916,False,Unknown
2024-03-31T11:26:38Z,windows,221760,TR,159.20.69.21,Pale Rider,The Heavy Horses,Murder Ballads & Other Love Songs,spotify:track:4hzkIiYVKJkRpwFOj3XZFP,,,,trackdone,trackdone,False,False,False,1711884177,False,Unknown
2024-03-31T11:29:52Z,windows,193333,TR,159.20.69.21,Copper & Gold,The Heavy Horses,Murder Ballads & Other Love Songs,spotify:track:5wO0mj8JF9KbZHx1R3a661,,,,trackdone,trackdone,False,False,False,1711884399,False,Unknown
2024-03-31T11:33:24Z,windows,211617,TR,159.20.69.21,Bended Knee,The Heavy Horses,With Darkness in My Eyes,spotify:track:0zNrflQTiefMiHmM0Uwdmj,,,,trackdone,trackdone,False,False,False,1711884593,False,Unknown
2024-03-31T11:37:21Z,windows,236133,TR,159.20.69.21,Hell Awaits,The Heavy Horses,Murder Ballads & Other Love Songs,spotify:track:5DBarp1YlXsztHgd9T93Q9,,,,trackdone,trackdone,False,False,False,1711884805,False,Unknown
2024-03-31T13:27:28Z,ios,57411,TR,77.67.175.125,Unshaken,D'Angelo,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:3okk47CKOqAm1TXmVPzNYf,,,,trackdone,endplay,False,True,False,1711873443,False,dark r&b
2024-03-31T13:27:29Z,windows,45278,TR,159.20.69.21,The Burnin',Nik Ammar,Dark Country,spotify:track:0zam0zicDzJstVeXMuGUtP,,,,trackdone,remote,False,False,False,1711885041,False,rebel blues
2024-03-31T13:31:25Z,ios,230760,TR,77.67.175.125,Follow,Days Of Jupiter,Only Ashes Remain,spotify:track:3He2VViMWC4sorXkNwNAtB,,,,clickrow,trackdone,False,False,False,1711891648,False,gymcore
2024-03-31T13:34:35Z,ios,185063,TR,77.67.175.125,Follow,Days Of Jupiter,Only Ashes Remain,spotify:track:3He2VViMWC4sorXkNwNAtB,,,,trackdone,fwdbtn,False,True,False,1711891886,False,gymcore
2024-03-31T14:51:45Z,ios,542812,TR,159.20.69.4,Follow,Days Of Jupiter,Only Ashes Remain,spotify:track:3He2VViMWC4sorXkNwNAtB,,,,fwdbtn,logout,False,False,False,1711892075,False,gymcore
2024-04-01T07:48:15Z,windows,166790,TR,159.20.69.21,That's The Way It Is,Daniel Lanois,The Music of Red Dead Redemption 2 (Original Soundtrack),spotify:track:5ui44u6tEnipuke1eKYpMI,,,,clickrow,remote,False,False,False,1711955023,False,"ambient country, canadian americana, melancholia, pastoral"
2024-04-01T07:48:34Z,ios,20294,TR,159.20.69.4,In the Name of Tragedy,Motörhead,Inferno,spotify:track:0jVKdXM4LQm94SP33rNbi9,,,,clickrow,endplay,False,True,False,1711957694,False,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
2024-04-01T07:49:33Z,ios,59071,TR,159.20.69.4,Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,The Number of the Beast,spotify:track:469rBLYJUZHMJLtq2Wch3h,,,,clickrow,endplay,False,True,False,1711957714,False,"alternative metal, hard rock, metal, nwobhm, rock"
2024-04-01T07:50:10Z,ios,36989,TR,159.20.69.4,Don't Talk To Strangers,Dio,Holy Diver,spotify:track:6ppPNxdwG8A5Ed8DlNLV6I,,,,clickrow,endplay,False,True,False,1711957774,False,Unknown
2024-04-01T07:54:52Z,ios,281890,TR,159.20.69.4,The Evil That Men Do - 2015 Remaster,Iron Maiden,Seventh Son of a Seventh Son,spotify:track:0S90LE5Z8FOdbui3tLak6t,,,,clickrow,endplay,False,True,False,1711957811,False,"alternative metal, hard rock, metal, nwobhm, rock"
2024-04-01T07:54:56Z,ios,3808,TR,159.20.69.4,I Believe,Manowar,The Dawn of Battle,spotify:track:652YlUWLpusTJvsgEX3zkU,,,,clickrow,endplay,False,True,False,1711958092,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-01T07:54:57Z,ios,998,TR,159.20.69.4,Satan Is Real,Kreator,Gods of Violence,spotify:track:14M68PdZSSMRzTBuJNuxO6,,,,clickrow,endplay,False,True,False,1711958096,False,"death metal, german metal, german thrash metal, hard rock, melodic thrash, metal, old school thrash, speed metal, thrash metal"
2024-04-01T07:55:45Z,ios,47925,TR,159.20.69.4,For the Glory of...,Testament,The Formation of Damnation,spotify:track:6J4VOoKhRZFNeWkVH0WTzH,,,,clickrow,fwdbtn,False,True,False,1711958097,False,"alternative metal, groove metal, hard rock, metal, old school thrash, thrash metal"
2024-04-01T08:08:49Z,ios,539515,TR,159.20.69.4,Satan Is Real,Kreator,Gods of Violence,spotify:track:14M68PdZSSMRzTBuJNuxO6,,,,fwdbtn,endplay,False,True,False,1711958145,False,"death metal, german metal, german thrash metal, hard rock, melodic thrash, metal, old school thrash, speed metal, thrash metal"
2024-04-01T08:09:57Z,ios,67314,TR,159.20.69.4,Angry Again,Megadeth,Hidden Treasures,spotify:track:3CI1JP2ooMBSFjIy1u6Yrc,,,,clickrow,endplay,False,True,False,1711958929,False,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal"
2024-04-01T08:20:38Z,ios,392173,TR,159.20.69.4,Warriors of the World United,Manowar,Warriors of the World,spotify:track:02zclmxRto3GAUBdtV7D8i,,,,clickrow,trackdone,False,False,False,1711958997,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-01T08:24:29Z,ios,230560,TR,159.20.69.4,Fighting the World,Manowar,Fighting the World,spotify:track:2tjb6V24kf6sDUdEFNf3m9,,,,trackdone,trackdone,False,False,False,1711959638,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-01T08:25:45Z,ios,74095,TR,159.20.69.4,Hail and Kill,Manowar,Kings of Metal,spotify:track:5HkvAtKEPDLmchWYmepqYB,,,,trackdone,endplay,False,True,False,1711959870,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-01T08:25:46Z,ios,1044,TR,159.20.69.4,Battle Hymn,Manowar,Battle Hymns,spotify:track:1VRnW4Qk8PP3EGGFMs6Z32,,,,clickrow,endplay,False,True,False,1711959945,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-01T09:00:43Z,ios,159010,TR,159.20.69.4,Love Me Forever,Motörhead,1916,spotify:track:7akyedgeVgZeT6oD77nyHn,,,,clickrow,endplay,False,True,False,1711959946,False,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
2024-04-01T09:00:45Z,ios,1648,TR,159.20.69.4,Battle Hymn,Manowar,Battle Hymns,spotify:track:1VRnW4Qk8PP3EGGFMs6Z32,,,,clickrow,endplay,False,True,False,1711962044,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-01T09:00:56Z,ios,11029,TR,159.20.69.4,Hail and Kill,Manowar,Kings of Metal,spotify:track:5HkvAtKEPDLmchWYmepqYB,,,,clickrow,endplay,False,True,False,1711962046,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-04-01T09:08:03Z,ios,411945,TR,159.20.69.4,Don't Talk To Strangers,Dio,Holy Diver,spotify:track:6ppPNxdwG8A5Ed8DlNLV6I,,,,clickrow,endplay,False,True,False,1711962057,False,Unknown
2024-04-01T09:08:09Z,ios,5340,TR,159.20.69.4,Chop Suey!,System Of A Down,Toxicity,spotify:track:2DlHlPMa4M17kufBvI2lEN,,,,clickrow,endplay,False,True,False,1711962484,False,"alternative metal, nu metal, rap metal, rock"
2024-04-01T09:09:55Z,ios,106324,TR,159.20.69.4,We Rock,Dio,The Last In Line,spotify:track:6qxi41lmbH35MT29bqlL4k,,,,clickrow,endplay,False,True,False,1711962490,False,Unknown
2024-04-01T09:11:23Z,ios,38103,TR,159.20.69.4,Love Me Forever,Motörhead,1916,spotify:track:7akyedgeVgZeT6oD77nyHn,,,,clickrow,endplay,False,True,False,1711962596,False,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
